Date,Product,Category,Region,Quantity,Revenue,Profit
2023-02-01,Air Fryer,Home,West,39,4827.76,1329.88
2023-02-02,Laptop,Furniture,North,40,4399.66,1007.23
2023-02-03,Desk,Home,East,54,6215.76,2018.79
2023-02-04,Desk,Furniture,East,42,4832.67,1272.19
2023-02-05,Laptop,Home,West,40,5129.3,1738.89
2023-02-06,Headphones,Furniture,South,50,6312.91,1876.89
2023-02-07,Headphones,Furniture,East,33,3989.02,1203.3
2023-02-08,Laptop,Home,East,41,4864.17,1330.34
2023-02-09,Air Fryer,Home,West,38,4776.0,1617.8
2023-02-10,Headphones,Electronics,North,47,5239.13,1776.24
2023-02-11,Laptop,Home,North,46,5298.18,1336.81
2023-02-12,Laptop,Electronics,North,51,5635.06,1672.21
2023-02-13,Desk,Home,East,47,5608.75,1918.1
2023-02-14,Laptop,Electronics,West,55,6124.53,1833.67
2023-02-15,Desk,Home,West,52,6343.43,2187.27
2023-02-16,Laptop,Electronics,South,39,3958.13,1034.42
2023-02-17,Desk,Furniture,West,55,5601.73,1860.7
2023-02-18,Headphones,Electronics,East,49,5538.65,1854.01
2023-02-19,Desk,Furniture,East,47,5039.64,1171.78
2023-02-20,Headphones,Electronics,North,48,5676.11,1841.65
2023-02-21,Desk,Furniture,North,42,4895.66,1179.84
2023-02-22,Desk,Home,West,52,6822.47,2000.91
2023-02-23,Headphones,Furniture,North,49,5066.65,1547.57
2023-02-24,Desk,Home,East,48,5551.12,1699.3
2023-02-25,Headphones,Home,North,31,3393.37,841.41
2023-02-26,Headphones,Home,West,44,4873.4,1123.8
2023-02-27,Desk,Home,North,42,5209.89,1663.07
2023-02-28,Desk,Home,East,49,5650.05,1302.7
2023-03-01,Headphones,Home,North,41,4882.64,1467.67
2023-03-02,Headphones,Home,South,39,4442.06,1194.02
2023-03-03,Laptop,Home,East,61,6788.77,2222.3
2023-03-04,Air Fryer,Home,West,29,3393.09,975.31
2023-03-05,Laptop,Furniture,West,48,5451.55,1729.68
2023-03-06,Headphones,Furniture,North,50,6361.59,2060.77
2023-03-07,Desk,Electronics,West,62,7608.31,2507.65
2023-03-08,Air Fryer,Home,East,51,5952.92,1452.38
2023-03-09,Air Fryer,Furniture,South,62,7405.62,1993.32
2023-03-10,Laptop,Furniture,West,45,5751.97,1670.99
2023-03-11,Desk,Electronics,West,41,4693.07,1539.25
2023-03-12,Air Fryer,Home,North,48,5435.12,1732.98
2023-03-13,Laptop,Electronics,North,43,5249.3,1783.05
2023-03-14,Laptop,Electronics,East,39,4960.62,1166.63
2023-03-15,Desk,Furniture,West,52,5979.16,1463.53
2023-03-16,Headphones,Furniture,North,67,7566.65,1731.16
2023-03-17,Laptop,Electronics,South,40,4245.78,1331.34
2023-03-18,Headphones,Home,East,59,7504.5,2517.99
2023-03-19,Laptop,Furniture,North,49,5402.54,1276.28
2023-03-20,Desk,Home,East,51,6468.49,1571.32
2023-03-21,Headphones,Electronics,East,47,5514.89,1403.88
2023-03-22,Headphones,Furniture,West,53,5968.32,1800.7
2023-03-23,Headphones,Electronics,North,55,7148.19,1739.29
2023-03-24,Laptop,Electronics,East,37,4369.84,1496.26
2023-03-25,Air Fryer,Furniture,West,56,6372.83,1814.09
2023-03-26,Air Fryer,Electronics,East,45,5404.26,1610.45
2023-03-27,Laptop,Home,West,41,4696.6,1497.86
2023-03-28,Desk,Home,West,52,5501.22,1817.93
2023-03-29,Desk,Home,North,47,5598.46,1782.26
2023-03-30,Air Fryer,Home,East,48,5020.91,1319.63
2023-03-31,Laptop,Furniture,East,52,6396.71,2210.1
2023-04-01,Headphones,Home,West,52,6143.11,1991.8
2023-04-02,Desk,Electronics,East,41,4409.71,1208.09
2023-04-03,Headphones,Electronics,North,36,4528.14,1390.39
2023-04-04,Desk,Home,North,48,5087.44,1600.61
2023-04-05,Laptop,Home,East,63,6918.76,1890.06
2023-04-06,Desk,Furniture,East,59,6194.18,1815.9
2023-04-07,Laptop,Furniture,North,42,4661.46,1299.93
2023-04-08,Desk,Electronics,North,44,4952.79,1232.68
2023-04-09,Air Fryer,Home,West,50,6103.15,1703.13
2023-04-10,Desk,Home,East,43,5238.58,1469.72
2023-04-11,Headphones,Furniture,North,44,5196.05,1576.68
2023-04-12,Desk,Furniture,South,49,5871.46,1582.1
2023-04-13,Laptop,Home,West,50,5770.78,1523.16
2023-04-14,Headphones,Home,East,37,4447.84,1237.16
2023-04-15,Headphones,Furniture,West,50,6192.27,1828.83
2023-04-16,Desk,Electronics,North,41,4839.45,1329.31
2023-04-17,Desk,Home,East,55,5992.57,1653.93
2023-04-18,Headphones,Home,West,41,4112.97,1215.73
2023-04-19,Headphones,Home,South,52,5967.08,1519.8
2023-04-20,Headphones,Electronics,South,42,4306.69,1432.63
2023-04-21,Headphones,Home,South,42,4381.54,1203.31
2023-04-22,Air Fryer,Home,South,39,4374.3,1222.83
2023-04-23,Desk,Home,West,54,5745.27,1500.39
2023-04-24,Air Fryer,Furniture,South,38,4072.91,1328.85
2023-04-25,Headphones,Furniture,South,47,5077.82,1279.62
2023-04-26,Headphones,Electronics,East,49,5598.23,1578.42
2023-04-27,Headphones,Electronics,West,50,6266.22,2162.26
2023-04-28,Headphones,Home,West,49,5396.81,1484.01
2023-04-29,Laptop,Electronics,West,41,4913.8,1168.51
2023-04-30,Air Fryer,Furniture,East,44,4726.32,1443.09
2023-05-01,Laptop,Electronics,West,51,5863.19,1551.98
2023-05-02,Headphones,Electronics,East,45,5069.03,1406.01
2023-05-03,Air Fryer,Electronics,West,51,5800.53,1407.11
2023-05-04,Air Fryer,Home,South,47,5197.22,1254.9
2023-05-05,Air Fryer,Home,East,51,5923.43,1510.79
2023-05-06,Laptop,Furniture,West,36,4272.61,1171.92
2023-05-07,Desk,Home,South,52,5708.08,1918.79
2023-05-08,Laptop,Home,North,51,5247.16,1681.12
2023-05-09,Headphones,Electronics,South,57,6661.65,1564.6
2023-05-10,Laptop,Furniture,East,28,3304.49,1152.19
2023-05-11,Laptop,Home,West,44,5507.95,1619.99
2023-05-12,Desk,Furniture,East,61,6964.56,1549.1
2023-05-13,Air Fryer,Home,North,43,5091.32,1683.66
2023-05-14,Headphones,Electronics,South,42,4811.16,1173.71
2023-05-15,Headphones,Home,East,57,6736.04,1725.74
2023-05-16,Desk,Electronics,West,35,4187.59,923.05
2023-05-17,Laptop,Home,West,34,3810.69,1234.41
2023-05-18,Laptop,Home,East,45,5498.03,1401.5
2023-05-19,Air Fryer,Furniture,South,48,5810.61,1367.16
2023-05-20,Laptop,Electronics,South,53,6816.11,1574.33
2023-05-21,Desk,Furniture,South,50,6064.78,1580.87
2023-05-22,Headphones,Home,East,63,7164.73,2282.0
2023-05-23,Laptop,Home,North,58,6655.93,2091.56
2023-05-24,Headphones,Electronics,North,46,5579.43,1745.07
2023-05-25,Laptop,Home,South,40,4707.79,1322.92
2023-05-26,Headphones,Home,North,51,6066.22,1395.3
2023-05-27,Air Fryer,Furniture,South,45,5569.72,1271.0
2023-05-28,Laptop,Electronics,East,41,4936.55,1261.23
2023-05-29,Air Fryer,Home,West,47,5272.92,1245.64
2023-05-30,Headphones,Furniture,West,41,4570.95,1359.06
2023-05-31,Laptop,Furniture,East,62,7161.36,2061.21
2023-06-01,Air Fryer,Furniture,South,38,4405.53,1434.63
2023-06-02,Headphones,Electronics,East,33,3415.7,893.5
2023-06-03,Headphones,Electronics,West,48,5757.75,1691.75
2023-06-04,Desk,Furniture,East,39,4372.15,1145.82
2023-06-05,Air Fryer,Furniture,North,40,4487.24,1308.31
2023-06-06,Desk,Furniture,West,33,3521.18,850.62
2023-06-07,Air Fryer,Electronics,South,44,5310.62,1674.86
2023-06-08,Headphones,Home,North,42,5237.21,1520.99
2023-06-09,Desk,Furniture,North,60,7720.6,2625.79
2023-06-10,Desk,Electronics,East,29,3482.95,1178.41
2023-06-11,Headphones,Home,North,42,4262.0,1448.26
2023-06-12,Desk,Home,South,42,4626.88,1333.12
2023-06-13,Headphones,Home,West,46,5698.99,1981.38
2023-06-14,Air Fryer,Home,South,30,3235.47,842.58
2023-06-15,Laptop,Furniture,East,28,3296.71,920.6
2023-06-16,Laptop,Electronics,West,43,4837.11,1151.65
2023-06-17,Laptop,Electronics,South,30,3442.89,965.47
2023-06-18,Headphones,Electronics,West,54,6514.91,1462.0
2023-06-19,Air Fryer,Home,South,43,4844.82,1541.36
2023-06-20,Laptop,Home,South,43,4571.9,1190.38
2023-06-21,Headphones,Home,West,41,4889.62,1458.68
2023-06-22,Air Fryer,Electronics,South,41,5016.19,1413.61
2023-06-23,Air Fryer,Home,North,37,4279.49,1445.39
2023-06-24,Air Fryer,Electronics,South,27,2960.25,1012.21
2023-06-25,Air Fryer,Home,South,54,5530.02,1625.37
2023-06-26,Desk,Home,East,37,4414.71,1360.7
2023-06-27,Laptop,Home,West,30,3294.26,1060.19
2023-06-28,Headphones,Home,South,55,6237.15,1739.43
2023-06-29,Air Fryer,Home,South,32,3791.45,1034.18
2023-06-30,Laptop,Furniture,North,41,4066.42,1131.55
2023-07-01,Headphones,Electronics,East,42,5042.24,1603.53
2023-07-02,Desk,Electronics,East,45,5316.14,1328.58
2023-07-03,Headphones,Furniture,South,39,4549.75,1222.26
2023-07-04,Air Fryer,Home,North,42,4423.0,1034.25
2023-07-05,Air Fryer,Home,South,35,4050.79,909.12
2023-07-06,Air Fryer,Furniture,West,35,4014.22,1064.84
2023-07-07,Desk,Furniture,West,37,4006.41,923.09
2023-07-08,Laptop,Home,East,37,4246.24,1044.74
2023-07-09,Headphones,Home,North,24,2482.47,852.75
2023-07-10,Headphones,Furniture,East,39,3931.52,1223.93
2023-07-11,Headphones,Electronics,North,39,4208.14,1226.7
2023-07-12,Desk,Electronics,North,30,3257.48,746.49
2023-07-13,Air Fryer,Home,North,36,4410.19,1376.41
2023-07-14,Laptop,Furniture,West,59,7147.09,2406.42
2023-07-15,Laptop,Home,North,49,5443.26,1352.62
2023-07-16,Headphones,Electronics,East,39,4519.18,1053.23
2023-07-17,Air Fryer,Furniture,West,30,3658.3,845.98
2023-07-18,Laptop,Electronics,West,41,4765.51,1431.22
2023-07-19,Headphones,Home,East,42,5079.98,1657.23
2023-07-20,Headphones,Electronics,North,36,4174.7,1401.84
2023-07-21,Laptop,Electronics,South,45,4826.87,1555.47
2023-07-22,Headphones,Home,West,30,3493.83,1155.34
2023-07-23,Laptop,Furniture,East,54,6115.31,1592.88
2023-07-24,Laptop,Home,East,39,4967.9,1221.82
2023-07-25,Desk,Home,South,49,5708.4,1490.91
2023-07-26,Laptop,Electronics,South,44,5072.59,1179.62
2023-07-27,Air Fryer,Electronics,East,45,5426.7,1554.55
2023-07-28,Laptop,Electronics,East,46,5121.78,1758.51
2023-07-29,Laptop,Home,East,36,4482.46,1349.61
2023-07-30,Headphones,Electronics,South,32,3398.21,1108.87
2023-07-31,Desk,Furniture,East,34,4163.25,1443.68
2023-08-01,Headphones,Electronics,East,40,4828.51,1476.73
2023-08-02,Headphones,Home,East,32,3554.01,958.13
2023-08-03,Desk,Home,North,32,3570.96,865.96
2023-08-04,Air Fryer,Home,South,46,5506.69,1826.85
2023-08-05,Desk,Furniture,East,43,4835.56,1516.41
2023-08-06,Desk,Home,East,28,3368.81,1094.67
2023-08-07,Desk,Electronics,South,36,4271.07,978.18
2023-08-08,Desk,Furniture,West,18,2161.27,745.84
2023-08-09,Laptop,Home,South,34,3668.25,891.88
2023-08-10,Laptop,Furniture,East,23,2640.09,794.27
2023-08-11,Desk,Electronics,South,44,5010.11,1291.51
2023-08-12,Laptop,Home,North,40,4938.69,1177.6
2023-08-13,Air Fryer,Furniture,South,34,3932.51,961.58
2023-08-14,Headphones,Furniture,South,39,4227.45,1295.28
2023-08-15,Air Fryer,Electronics,South,32,4197.35,1416.92
2023-08-16,Desk,Home,East,30,3358.28,910.87
2023-08-17,Air Fryer,Electronics,North,35,3944.86,916.26
2023-08-18,Air Fryer,Furniture,North,38,4149.28,1430.08
2023-08-19,Desk,Furniture,East,37,3831.13,885.88
2023-08-20,Desk,Furniture,West,27,3448.63,1122.27
2023-08-21,Laptop,Furniture,South,23,2700.04,784.22
2023-08-22,Headphones,Home,North,48,5594.77,1602.43
2023-08-23,Air Fryer,Electronics,West,39,4408.23,1388.87
2023-08-24,Air Fryer,Home,West,18,2027.29,555.35
2023-08-25,Air Fryer,Furniture,South,28,3160.44,990.64
2023-08-26,Air Fryer,Home,West,43,4563.5,1172.86
2023-08-27,Desk,Home,West,42,4553.98,1244.22
2023-08-28,Air Fryer,Furniture,North,31,3287.79,981.87
2023-08-29,Air Fryer,Electronics,East,16,1935.98,564.06
2023-08-30,Headphones,Furniture,West,43,4549.01,1487.1
2023-08-31,Air Fryer,Furniture,North,28,3006.46,663.73
2023-09-01,Air Fryer,Electronics,South,14,1486.04,452.98
2023-09-02,Air Fryer,Electronics,South,35,4101.01,1379.28
2023-09-03,Laptop,Home,East,33,3606.35,862.53
2023-09-04,Laptop,Home,East,26,2856.68,904.66
2023-09-05,Laptop,Electronics,West,49,6540.2,1829.78
2023-09-06,Desk,Home,North,53,6427.37,2156.22
2023-09-07,Air Fryer,Electronics,South,31,3428.42,842.05
2023-09-08,Laptop,Home,West,29,3056.1,921.79
2023-09-09,Laptop,Electronics,East,41,4835.02,1577.86
2023-09-10,Air Fryer,Electronics,East,33,3761.39,1147.82
2023-09-11,Laptop,Furniture,North,44,5072.0,1510.23
2023-09-12,Headphones,Furniture,North,27,3139.6,928.43
2023-09-13,Air Fryer,Home,West,15,1637.28,490.79
2023-09-14,Laptop,Furniture,North,41,4927.47,1605.83
2023-09-15,Air Fryer,Furniture,West,35,4026.15,1041.36
2023-09-16,Headphones,Home,South,43,4992.96,1154.94
2023-09-17,Laptop,Electronics,North,24,2770.07,718.52
2023-09-18,Headphones,Furniture,West,33,4413.03,1042.51
2023-09-19,Laptop,Furniture,West,31,3524.25,1194.71
2023-09-20,Air Fryer,Home,West,28,3036.02,862.08
2023-09-21,Laptop,Home,South,33,3526.93,958.8
2023-09-22,Laptop,Electronics,North,36,3969.1,1351.56
2023-09-23,Laptop,Home,West,45,4387.27,1132.39
2023-09-24,Desk,Electronics,South,29,3147.51,797.25
2023-09-25,Headphones,Furniture,East,17,1934.95,440.7
2023-09-26,Desk,Home,West,34,4084.28,1278.7
2023-09-27,Air Fryer,Furniture,North,42,5211.91,1639.51
2023-09-28,Laptop,Furniture,West,31,3769.61,1103.64
2023-09-29,Air Fryer,Home,North,29,2930.97,769.5
2023-09-30,Air Fryer,Home,North,39,4793.89,1060.25
2023-10-01,Desk,Furniture,South,35,3955.68,917.48
2023-10-02,Air Fryer,Furniture,West,31,3556.97,1123.02
2023-10-03,Desk,Home,North,23,2885.17,971.36
2023-10-04,Air Fryer,Electronics,East,38,4753.15,1626.04
2023-10-05,Headphones,Furniture,East,35,4204.19,1437.28
2023-10-06,Air Fryer,Home,South,42,5287.61,1649.54
2023-10-07,Laptop,Furniture,East,35,3917.72,1096.15
2023-10-08,Desk,Furniture,East,25,3163.86,978.78
2023-10-09,Desk,Electronics,South,41,4826.86,1291.35
2023-10-10,Headphones,Furniture,East,29,3106.67,743.43
2023-10-11,Headphones,Home,East,23,3018.16,798.92
2023-10-12,Desk,Furniture,East,34,4025.79,1175.99
2023-10-13,Desk,Home,East,25,2910.72,1005.65
2023-10-14,Desk,Electronics,West,35,3998.82,1332.17
2023-10-15,Desk,Furniture,North,32,3647.55,1125.61
2023-10-16,Headphones,Furniture,North,43,5058.06,1644.69
2023-10-17,Headphones,Home,East,37,4668.82,1429.25
2023-10-18,Air Fryer,Home,North,45,5234.33,1304.76
2023-10-19,Headphones,Electronics,East,45,4869.93,1126.96
2023-10-20,Laptop,Electronics,North,46,5659.14,1898.12
2023-10-21,Air Fryer,Furniture,South,34,3765.64,1014.21
2023-10-22,Laptop,Furniture,South,19,2224.29,690.16
2023-10-23,Desk,Furniture,East,32,3877.88,1027.25
2023-10-24,Laptop,Furniture,West,28,3359.42,746.73
2023-10-25,Laptop,Home,West,35,4460.11,1362.1
2023-10-26,Desk,Electronics,South,22,2781.88,836.33
2023-10-27,Air Fryer,Electronics,North,20,2441.33,694.08
2023-10-28,Headphones,Home,South,43,5131.48,1604.76
2023-10-29,Headphones,Furniture,South,32,3751.39,1108.12
2023-10-30,Air Fryer,Electronics,West,37,4029.6,1277.52
2023-10-31,Headphones,Electronics,West,23,2412.07,722.42
2023-11-01,Laptop,Electronics,East,33,3363.32,1021.83
2023-11-02,Headphones,Electronics,South,32,3506.02,908.9
2023-11-03,Air Fryer,Home,North,42,5404.28,1500.57
2023-11-04,Laptop,Furniture,North,47,5519.77,1547.53
2023-11-05,Desk,Electronics,North,49,5861.29,1433.64
2023-11-06,Headphones,Electronics,West,30,3375.1,1101.1
2023-11-07,Air Fryer,Home,West,27,3043.87,743.67
2023-11-08,Desk,Furniture,South,66,6994.87,2293.64
2023-11-09,Laptop,Electronics,West,53,6158.44,1625.33
2023-11-10,Laptop,Furniture,West,25,3440.78,945.52
2023-11-11,Headphones,Electronics,North,38,4816.12,1675.65
2023-11-12,Desk,Home,North,35,3975.35,1365.71
2023-11-13,Desk,Home,East,46,4925.17,1409.4
2023-11-14,Headphones,Furniture,South,56,6419.9,1574.91
2023-11-15,Headphones,Electronics,West,43,5258.12,1385.89
2023-11-16,Air Fryer,Furniture,East,46,5890.77,1949.44
2023-11-17,Air Fryer,Electronics,East,38,4020.54,940.03
2023-11-18,Headphones,Furniture,West,50,5463.48,1582.82
2023-11-19,Air Fryer,Electronics,East,52,5840.92,1705.34
2023-11-20,Laptop,Home,North,51,5628.57,1377.01
2023-11-21,Laptop,Home,East,43,4455.72,987.02
2023-11-22,Headphones,Electronics,South,50,5181.95,1500.83
2023-11-23,Headphones,Electronics,South,52,6689.85,2165.66
2023-11-24,Headphones,Furniture,North,34,4317.83,1059.48
2023-11-25,Laptop,Home,North,68,8678.44,2871.57
2023-11-26,Headphones,Electronics,South,48,4950.42,1277.92
2023-11-27,Headphones,Furniture,East,49,6105.1,1562.63
2023-11-28,Desk,Electronics,North,49,4883.8,1141.27
2023-11-29,Air Fryer,Home,North,40,4769.82,1517.88
2023-11-30,Desk,Electronics,West,43,4777.35,1549.74
2023-12-01,Air Fryer,Furniture,South,43,4632.96,1233.13
2023-12-02,Air Fryer,Electronics,North,69,8400.29,1851.11
2023-12-03,Laptop,Home,East,41,4417.61,1182.07
2023-12-04,Desk,Electronics,East,54,6037.63,1828.75
2023-12-05,Desk,Furniture,North,61,7262.41,2509.67
2023-12-06,Desk,Furniture,North,46,5553.92,1392.76
2023-12-07,Desk,Electronics,South,58,7457.85,2042.94
2023-12-08,Headphones,Furniture,West,43,5088.59,1187.89
2023-12-09,Desk,Furniture,West,44,5008.51,1275.92
2023-12-10,Laptop,Home,North,65,8090.44,2118.41
2023-12-11,Laptop,Home,West,48,5735.49,1751.58
2023-12-12,Air Fryer,Electronics,South,73,7289.32,2401.82
2023-12-13,Desk,Home,East,48,6060.29,1597.5
2023-12-14,Air Fryer,Home,South,48,5355.16,1445.23
2023-12-15,Laptop,Home,North,62,6667.8,2305.16
2023-12-16,Desk,Furniture,West,49,4594.18,1012.32
2023-12-17,Headphones,Electronics,East,46,5872.01,1532.75
2023-12-18,Desk,Electronics,West,51,6511.57,2191.41
2023-12-19,Laptop,Home,East,50,6255.65,1557.28
2023-12-20,Air Fryer,Furniture,South,49,5401.89,1339.99
2023-12-21,Air Fryer,Furniture,North,65,6870.29,1874.41
2023-12-22,Headphones,Electronics,East,49,5365.6,1443.29
2023-12-23,Air Fryer,Furniture,South,40,4862.85,1572.57
2023-12-24,Headphones,Home,West,56,6449.49,2130.77
2023-12-25,Desk,Home,South,48,5809.04,1396.65
2023-12-26,Headphones,Home,North,50,4941.38,1342.07
2023-12-27,Headphones,Electronics,North,48,4870.62,1562.6
2023-12-28,Desk,Home,South,42,5048.48,1237.57
2023-12-29,Air Fryer,Furniture,South,62,6776.97,1965.68
2023-12-30,Desk,Furniture,East,49,5724.12,1442.62
2023-12-31,Laptop,Home,East,45,4802.43,1099.27
2024-01-01,Desk,Electronics,East,44,4738.93,1361.44
2024-01-02,Headphones,Home,East,36,4178.56,1116.79
2024-01-03,Headphones,Home,West,41,4407.36,976.73
2024-01-04,Headphones,Electronics,West,35,3965.1,1056.96
2024-01-05,Air Fryer,Home,South,34,3682.39,1010.23
2024-01-06,Headphones,Home,East,39,4319.65,1389.46
2024-01-07,Desk,Home,East,44,5784.35,1659.52
2024-01-08,Laptop,Electronics,West,45,5393.01,1775.88
2024-01-09,Headphones,Furniture,North,41,4008.86,1000.53
2024-01-10,Desk,Home,West,40,4518.35,1084.15
2024-01-11,Laptop,Furniture,North,36,4223.7,1413.35
2024-01-12,Laptop,Electronics,South,39,4224.66,1069.44
2024-01-13,Desk,Home,South,56,6818.1,2192.52
2024-01-14,Laptop,Furniture,East,32,3236.72,903.36
2024-01-15,Laptop,Electronics,West,40,4631.82,1168.44
2024-01-16,Desk,Electronics,South,33,3620.54,1044.29
2024-01-17,Laptop,Home,West,36,4136.57,1272.67
2024-01-18,Desk,Furniture,South,36,3912.03,1090.33
2024-01-19,Laptop,Home,East,54,6000.56,1480.0
2024-01-20,Air Fryer,Furniture,West,53,6240.26,2132.95
2024-01-21,Desk,Furniture,South,55,6281.23,1465.98
2024-01-22,Air Fryer,Home,West,46,4950.9,1671.01
2024-01-23,Laptop,Electronics,West,50,5889.45,1344.05
2024-01-24,Desk,Electronics,West,44,5288.19,1303.16
2024-01-25,Headphones,Electronics,South,51,5594.73,1730.96
2024-01-26,Laptop,Home,West,51,5768.33,1513.83
2024-01-27,Air Fryer,Home,West,64,6935.06,2337.64
2024-01-28,Laptop,Furniture,West,38,4731.9,1574.85
2024-01-29,Laptop,Electronics,South,55,6812.69,2312.87
2024-01-30,Headphones,Home,North,39,4432.43,1172.5
2024-01-31,Laptop,Home,South,41,5462.7,1206.56
2024-02-01,Laptop,Home,North,53,6858.74,2336.63
2024-02-02,Laptop,Furniture,South,57,6330.08,1963.47
2024-02-03,Headphones,Electronics,North,48,5096.62,1314.66
2024-02-04,Air Fryer,Home,South,48,5961.77,1848.85
2024-02-05,Laptop,Furniture,South,50,6108.77,2110.4
2024-02-06,Desk,Electronics,North,39,4775.18,1552.71
2024-02-07,Laptop,Home,East,55,6006.36,1975.3
2024-02-08,Desk,Electronics,North,38,4260.36,1226.14
2024-02-09,Laptop,Home,West,53,5593.83,1753.99
2024-02-10,Laptop,Electronics,West,35,4541.49,1171.64
2024-02-11,Laptop,Furniture,West,49,6188.24,1629.15
2024-02-12,Air Fryer,Electronics,South,57,6207.08,1996.58
2024-02-13,Air Fryer,Furniture,East,50,5793.9,1839.5
2024-02-14,Headphones,Home,North,51,5532.02,1603.11
2024-02-15,Laptop,Home,East,57,7104.93,1597.7
2024-02-16,Desk,Furniture,East,48,5144.57,1421.37
2024-02-17,Air Fryer,Home,West,45,5029.58,1138.98
2024-02-18,Desk,Furniture,West,53,6018.61,1938.43
2024-02-19,Headphones,Electronics,East,39,4597.42,1211.04
2024-02-20,Laptop,Furniture,South,57,7266.54,2321.82
2024-02-21,Laptop,Home,East,57,6696.18,1786.84
2024-02-22,Headphones,Furniture,West,56,6760.96,1977.0
2024-02-23,Desk,Electronics,South,51,5957.17,1842.79
2024-02-24,Air Fryer,Furniture,West,48,5898.39,1781.2
2024-02-25,Desk,Home,East,65,7314.14,2315.48
2024-02-26,Desk,Electronics,East,66,7699.17,2265.94
2024-02-27,Air Fryer,Home,West,52,6259.33,1976.92
2024-02-28,Laptop,Home,South,52,5554.97,1765.01
2024-02-29,Desk,Electronics,South,31,3713.47,833.95
2024-03-01,Headphones,Electronics,North,61,7144.81,2336.35
2024-03-02,Desk,Home,South,45,5467.38,1667.59
2024-03-03,Air Fryer,Furniture,South,50,6195.58,1874.47
2024-03-04,Headphones,Home,North,48,5651.06,1595.27
2024-03-05,Laptop,Home,East,45,5132.35,1332.98
2024-03-06,Headphones,Home,East,61,7234.58,2300.96
2024-03-07,Laptop,Home,West,49,5753.83,1948.19
2024-03-08,Air Fryer,Electronics,South,50,6589.73,1831.17
2024-03-09,Headphones,Home,North,65,7303.11,1968.05
2024-03-10,Laptop,Home,South,60,6366.3,1939.7
2024-03-11,Air Fryer,Furniture,West,49,5498.22,1527.28
2024-03-12,Air Fryer,Furniture,West,44,5246.19,1822.44
2024-03-13,Desk,Home,North,47,5590.13,1833.76
2024-03-14,Air Fryer,Home,East,42,5064.09,1283.52
2024-03-15,Laptop,Electronics,West,48,4923.33,1533.13
2024-03-16,Headphones,Electronics,West,49,6021.09,1991.81
2024-03-17,Laptop,Furniture,East,63,7960.1,2726.18
2024-03-18,Headphones,Furniture,East,45,4995.68,1549.38
2024-03-19,Headphones,Furniture,East,41,5015.48,1613.74
2024-03-20,Headphones,Furniture,North,56,6804.32,2293.78
2024-03-21,Air Fryer,Electronics,East,65,7812.97,2549.76
2024-03-22,Air Fryer,Furniture,West,56,6654.78,1986.98
2024-03-23,Laptop,Electronics,West,50,5237.38,1330.95
2024-03-24,Headphones,Electronics,East,72,8336.2,2914.4
2024-03-25,Desk,Furniture,West,41,4430.56,1206.44
2024-03-26,Air Fryer,Furniture,South,49,5286.42,1843.56
2024-03-27,Headphones,Electronics,West,40,4348.47,1139.45
2024-03-28,Desk,Electronics,North,50,6037.09,1851.97
2024-03-29,Laptop,Home,West,61,7552.31,1969.3
2024-03-30,Desk,Furniture,North,42,5158.17,1211.91
2024-03-31,Laptop,Home,East,46,5220.31,1487.95
2024-04-01,Laptop,Home,West,39,4778.49,1174.12
2024-04-02,Laptop,Furniture,North,54,5927.34,1392.2
2024-04-03,Air Fryer,Furniture,North,52,5781.71,1550.6
