Date,Revenue,Predicted_Revenue
2025-09-05,4410.82,3954.667510396832
2025-09-06,2165.72,3957.7782219523847
2025-09-07,3268.89,3979.8120589523837
2025-09-08,3274.88,4122.307904095241
2025-09-09,4865.72,4274.049542095239
2025-09-10,4357.57,3963.19663719048
2025-09-11,4102.2,4061.7657421428603
2025-09-12,4184.17,3979.56692528572
2025-09-13,2691.2,4043.183532095242
2025-09-14,2137.27,3845.860902539687
2025-09-15,4961.47,4150.5904570476205
2025-09-16,4537.54,3887.960981190478
2025-09-17,4420.09,3989.9846074285733
2025-09-18,3259.39,4078.033883968257
2025-09-19,5104.23,4080.166107476197
2025-09-20,3805.73,4015.393360095241
2025-09-21,3439.95,3868.927648730161
2025-09-22,3936.41,4150.177067857144
2025-09-23,4067.5,4057.702924285716
2025-09-24,4107.86,3805.866282142859
2025-09-25,4063.19,3791.186425952382
2025-09-26,3668.88,4074.7408044761933
2025-09-27,3857.74,3914.299019142859
2025-09-28,3142.97,3822.9454064444467
2025-09-29,5028.43,4046.4668456190498
2025-09-30,4423.14,3906.930142238097
2025-10-01,4606.63,4196.307164333336
2025-10-02,3216.73,4144.207500492065
2025-10-03,4330.15,3837.0851925238135
2025-10-04,2663.77,3936.494940095242
2025-10-05,3894.49,3805.8653189206375
2025-10-06,3445.03,4017.4370174285727
2025-10-07,2383.31,3940.2203326666718
2025-10-08,3032.17,4130.324176396826
2025-10-09,3785.58,4398.632792968257
2025-10-10,2511.95,4270.606877714288
2025-10-11,4563.36,4414.337562682543
2025-10-12,4917.87,4190.000888761906
2025-10-13,2765.1,4354.637612571428
2025-10-14,3417.92,4398.380322
2025-10-15,5683.15,4369.666345761905
2025-10-16,1710.59,3899.825990619052
2025-10-17,4061.4,4221.557750380957
2025-10-18,3003.41,3891.2276040476218
2025-10-19,3112.65,3863.4522983492084
2025-10-20,5179.87,4490.891315523808
2025-10-21,1297.13,4186.1448690216475
2025-10-22,3444.28,3429.4692526190474
2025-10-23,4117.86,4469.192532857145
2025-10-24,3880.04,4151.895347190479
2025-10-25,3833.66,4148.8196298095245
2025-10-26,5190.98,4024.0660446666684
2025-10-27,4561.6,4104.897829666667
2025-10-28,3691.04,4348.771615720059
2025-10-29,3873.42,4223.012051164504
2025-10-30,3378.43,4199.334697396827
2025-10-31,4265.48,3997.733049380957
2025-11-01,3642.74,4934.698865301591
2025-11-02,4829.76,4883.335142158732
2025-11-03,6053.72,4549.42301463492
2025-11-04,5676.09,4717.460040142861
2025-11-05,5593.68,5238.598397666667
2025-11-06,5175.01,5584.156449126983
2025-11-07,4813.22,5874.781156809523
2025-11-08,6034.78,5430.478603857137
2025-11-09,4025.47,5791.6540030158785
2025-11-10,5427.21,5661.428475428576
2025-11-11,4020.7,5479.55065722222
2025-11-12,5426.71,5744.742690174602
2025-11-13,5458.4,5931.123450142858
2025-11-14,5476.62,5903.3019789523805
2025-11-15,5619.97,5878.731539984124
2025-11-16,5549.1,5805.963395666662
2025-11-17,5881.93,5269.479332571427
2025-11-18,3462.03,5568.709033936509
2025-11-19,5943.8,5350.235709507937
2025-11-20,4018.18,5888.8321477142845
2025-11-21,4818.41,5517.106069555551
2025-11-22,7264.47,5812.451867841269
2025-11-23,6157.14,5716.369903142858
2025-11-24,6042.68,5562.184170380954
2025-11-25,5677.68,5355.89451326984
2025-11-26,5508.91,5339.305592476191
2025-11-27,3743.63,5668.886735825403
2025-11-28,6173.04,5807.464266952388
2025-11-29,3072.92,5992.446837380953
2025-11-30,6209.94,5541.889546396826
2025-12-01,4469.03,5648.387729095234
2025-12-02,6387.82,5804.959604222222
2025-12-03,5473.23,5699.635122952378
2025-12-04,4366.84,5684.244848714282
2025-12-05,6021.45,5917.630694047616
2025-12-06,6055.31,5515.96008523809
2025-12-07,4876.48,6126.3773200793685
2025-12-08,4292.49,5721.068317126983
2025-12-09,6467.03,5809.463630000004
2025-12-10,5969.65,5762.13926438095
2025-12-11,4935.37,5761.922656111112
2025-12-12,4179.57,6189.858384523811
2025-12-13,5178.78,5983.27681774603
2025-12-14,6701.45,5747.617254999995
2025-12-15,6664.14,5693.00268795238
2025-12-16,6622.74,5382.948995428572
2025-12-17,6070.74,5235.943163333335
2025-12-18,6568.19,5790.107584079369
2025-12-19,6182.58,5894.350866968255
2025-12-20,6489.28,5509.636219619045
2025-12-21,4966.87,5716.529017333333
2025-12-22,6111.32,5722.3877392857175
2025-12-23,6298.53,5666.864054095242
2025-12-24,3346.87,5642.925318730164
2025-12-25,5558.58,5835.432230571431
2025-12-26,5307.06,6183.098775761904
2025-12-27,5570.21,6043.079685904766
2025-12-28,5528.11,5720.341556285718
2025-12-29,5817.76,5717.663057523812
2025-12-30,6375.2,5812.577804666669
2025-12-31,5848.95,5555.215496603173
