Date,Revenue,Quantity,Profit
2023-03-09,7405.62,62,1993.32
2023-03-10,5751.97,45,1670.99
2023-03-11,4693.07,41,1539.25
2023-03-12,5435.12,48,1732.98
2023-03-13,5249.3,43,1783.05
2023-03-14,4960.62,39,1166.63
2023-03-15,5979.16,52,1463.53
2023-03-16,7566.65,67,1731.16
2023-03-17,4245.78,40,1331.34
2023-03-18,7504.5,59,2517.99
2023-03-19,5402.54,49,1276.28
2023-03-20,6468.49,51,1571.32
2023-03-21,5514.89,47,1403.88
2023-03-22,5968.32,53,1800.7
2023-03-23,7148.19,55,1739.29
2023-03-24,4369.84,37,1496.26
2023-03-25,6372.83,56,1814.09
2023-03-26,5404.26,45,1610.45
2023-03-27,4696.6,41,1497.86
2023-03-28,5501.22,52,1817.93
2023-03-29,5598.46,47,1782.26
2023-03-30,5020.91,48,1319.63
2023-03-31,6396.71,52,2210.1
2023-04-01,6143.11,52,1991.8
2023-04-02,4409.71,41,1208.09
2023-04-03,4528.14,36,1390.39
2023-04-04,5087.44,48,1600.61
2023-04-05,6918.76,63,1890.06
2023-04-06,6194.18,59,1815.9
2023-04-07,4661.46,42,1299.93
2023-04-08,4952.79,44,1232.68
2023-04-09,6103.15,50,1703.13
2023-04-10,5238.58,43,1469.72
2023-04-11,5196.05,44,1576.68
2023-04-12,5871.46,49,1582.1
2023-04-13,5770.78,50,1523.16
2023-04-14,4447.84,37,1237.16
2023-04-15,6192.27,50,1828.83
2023-04-16,4839.45,41,1329.31
2023-04-17,5992.57,55,1653.93
2023-04-18,4112.97,41,1215.73
2023-04-19,5967.08,52,1519.8
2023-04-20,4306.69,42,1432.63
2023-04-21,4381.54,42,1203.31
2023-04-22,4374.3,39,1222.83
2023-04-23,5745.27,54,1500.39
2023-04-24,4072.91,38,1328.85
2023-04-25,5077.82,47,1279.62
2023-04-26,5598.23,49,1578.42
2023-04-27,6266.22,50,2162.26
2023-04-28,5396.81,49,1484.01
2023-04-29,4913.8,41,1168.51
2023-04-30,4726.32,44,1443.09
2023-05-01,5863.19,51,1551.98
2023-05-02,5069.03,45,1406.01
2023-05-03,5800.53,51,1407.11
2023-05-04,5197.22,47,1254.9
2023-05-05,5923.43,51,1510.79
2023-05-06,4272.61,36,1171.92
2023-05-07,5708.08,52,1918.79
2023-05-08,5247.16,51,1681.12
2023-05-09,6661.65,57,1564.6
2023-05-10,3304.49,28,1152.19
2023-05-11,5507.95,44,1619.99
2023-05-12,6964.56,61,1549.1
2023-05-13,5091.32,43,1683.66
2023-05-14,4811.16,42,1173.71
2023-05-15,6736.04,57,1725.74
2023-05-16,4187.59,35,923.05
2023-05-17,3810.69,34,1234.41
2023-05-18,5498.03,45,1401.5
2023-05-19,5810.61,48,1367.16
2023-05-20,6816.11,53,1574.33
2023-05-21,6064.78,50,1580.87
2023-05-22,7164.73,63,2282.0
2023-05-23,6655.93,58,2091.56
2023-05-24,5579.43,46,1745.07
2023-05-25,4707.79,40,1322.92
2023-05-26,6066.22,51,1395.3
2023-05-27,5569.72,45,1271.0
2023-05-28,4936.55,41,1261.23
2023-05-29,5272.92,47,1245.64
2023-05-30,4570.95,41,1359.06
2023-05-31,7161.36,62,2061.21
2023-06-01,4405.53,38,1434.63
2023-06-02,3415.7,33,893.5
2023-06-03,5757.75,48,1691.75
2023-06-04,4372.15,39,1145.82
2023-06-05,4487.24,40,1308.31
2023-06-06,3521.18,33,850.62
2023-06-07,5310.62,44,1674.86
2023-06-08,5237.21,42,1520.99
2023-06-09,7720.6,60,2625.79
2023-06-10,3482.95,29,1178.41
2023-06-11,4262.0,42,1448.26
2023-06-12,4626.88,42,1333.12
2023-06-13,5698.99,46,1981.38
2023-06-14,3235.47,30,842.58
2023-06-15,3296.71,28,920.6
2023-06-16,4837.11,43,1151.65
2023-06-17,3442.89,30,965.47
2023-06-18,6514.91,54,1462.0
2023-06-19,4844.82,43,1541.36
2023-06-20,4571.9,43,1190.38
2023-06-21,4889.62,41,1458.68
2023-06-22,5016.19,41,1413.61
2023-06-23,4279.49,37,1445.39
2023-06-24,2960.25,27,1012.21
2023-06-25,5530.02,54,1625.37
2023-06-26,4414.71,37,1360.7
2023-06-27,3294.26,30,1060.19
2023-06-28,6237.15,55,1739.43
2023-06-29,3791.45,32,1034.18
2023-06-30,4066.42,41,1131.55
2023-07-01,5042.24,42,1603.53
2023-07-02,5316.14,45,1328.58
2023-07-03,4549.75,39,1222.26
2023-07-04,4423.0,42,1034.25
2023-07-05,4050.79,35,909.12
2023-07-06,4014.22,35,1064.84
2023-07-07,4006.41,37,923.09
2023-07-08,4246.24,37,1044.74
2023-07-09,2482.47,24,852.75
2023-07-10,3931.52,39,1223.93
2023-07-11,4208.14,39,1226.7
2023-07-12,3257.48,30,746.49
2023-07-13,4410.19,36,1376.41
2023-07-14,7147.09,59,2406.42
2023-07-15,5443.26,49,1352.62
2023-07-16,4519.18,39,1053.23
2023-07-17,3658.3,30,845.98
2023-07-18,4765.51,41,1431.22
2023-07-19,5079.98,42,1657.23
2023-07-20,4174.7,36,1401.84
2023-07-21,4826.87,45,1555.47
2023-07-22,3493.83,30,1155.34
2023-07-23,6115.31,54,1592.88
2023-07-24,4967.9,39,1221.82
2023-07-25,5708.4,49,1490.91
2023-07-26,5072.59,44,1179.62
2023-07-27,5426.7,45,1554.55
2023-07-28,5121.78,46,1758.51
2023-07-29,4482.46,36,1349.61
2023-07-30,3398.21,32,1108.87
2023-07-31,4163.25,34,1443.68
2023-08-01,4828.51,40,1476.73
2023-08-02,3554.01,32,958.13
2023-08-03,3570.96,32,865.96
2023-08-04,5506.69,46,1826.85
2023-08-05,4835.56,43,1516.41
2023-08-06,3368.81,28,1094.67
2023-08-07,4271.07,36,978.18
2023-08-08,2161.27,18,745.84
2023-08-09,3668.25,34,891.88
2023-08-10,2640.09,23,794.27
2023-08-11,5010.11,44,1291.51
2023-08-12,4938.69,40,1177.6
2023-08-13,3932.51,34,961.58
2023-08-14,4227.45,39,1295.28
2023-08-15,4197.35,32,1416.92
2023-08-16,3358.28,30,910.87
2023-08-17,3944.86,35,916.26
2023-08-18,4149.28,38,1430.08
2023-08-19,3831.13,37,885.88
2023-08-20,3448.63,27,1122.27
2023-08-21,2700.04,23,784.22
2023-08-22,5594.77,48,1602.43
2023-08-23,4408.23,39,1388.87
2023-08-24,2027.29,18,555.35
2023-08-25,3160.44,28,990.64
2023-08-26,4563.5,43,1172.86
2023-08-27,4553.98,42,1244.22
2023-08-28,3287.79,31,981.87
2023-08-29,1935.98,16,564.06
2023-08-30,4549.01,43,1487.1
2023-08-31,3006.46,28,663.73
2023-09-01,1486.04,14,452.98
2023-09-02,4101.01,35,1379.28
2023-09-03,3606.35,33,862.53
2023-09-04,2856.68,26,904.66
2023-09-05,6540.2,49,1829.78
2023-09-06,6427.37,53,2156.22
2023-09-07,3428.42,31,842.05
2023-09-08,3056.1,29,921.79
2023-09-09,4835.02,41,1577.86
2023-09-10,3761.39,33,1147.82
2023-09-11,5072.0,44,1510.23
2023-09-12,3139.6,27,928.43
2023-09-13,1637.28,15,490.79
2023-09-14,4927.47,41,1605.83
2023-09-15,4026.15,35,1041.36
2023-09-16,4992.96,43,1154.94
2023-09-17,2770.07,24,718.52
2023-09-18,4413.03,33,1042.51
2023-09-19,3524.25,31,1194.71
2023-09-20,3036.02,28,862.08
2023-09-21,3526.93,33,958.8
2023-09-22,3969.1,36,1351.56
2023-09-23,4387.27,45,1132.39
2023-09-24,3147.51,29,797.25
2023-09-25,1934.95,17,440.7
2023-09-26,4084.28,34,1278.7
2023-09-27,5211.91,42,1639.51
2023-09-28,3769.61,31,1103.64
2023-09-29,2930.97,29,769.5
2023-09-30,4793.89,39,1060.25
2023-10-01,3955.68,35,917.48
2023-10-02,3556.97,31,1123.02
2023-10-03,2885.17,23,971.36
2023-10-04,4753.15,38,1626.04
2023-10-05,4204.19,35,1437.28
2023-10-06,5287.61,42,1649.54
2023-10-07,3917.72,35,1096.15
2023-10-08,3163.86,25,978.78
2023-10-09,4826.86,41,1291.35
2023-10-10,3106.67,29,743.43
2023-10-11,3018.16,23,798.92
2023-10-12,4025.79,34,1175.99
2023-10-13,2910.72,25,1005.65
2023-10-14,3998.82,35,1332.17
2023-10-15,3647.55,32,1125.61
2023-10-16,5058.06,43,1644.69
2023-10-17,4668.82,37,1429.25
2023-10-18,5234.33,45,1304.76
2023-10-19,4869.93,45,1126.96
2023-10-20,5659.14,46,1898.12
2023-10-21,3765.64,34,1014.21
2023-10-22,2224.29,19,690.16
2023-10-23,3877.88,32,1027.25
2023-10-24,3359.42,28,746.73
2023-10-25,4460.11,35,1362.1
2023-10-26,2781.88,22,836.33
2023-10-27,2441.33,20,694.08
2023-10-28,5131.48,43,1604.76
2023-10-29,3751.39,32,1108.12
2023-10-30,4029.6,37,1277.52
2023-10-31,2412.07,23,722.42
2023-11-01,3363.32,33,1021.83
2023-11-02,3506.02,32,908.9
2023-11-03,5404.28,42,1500.57
2023-11-04,5519.77,47,1547.53
2023-11-05,5861.29,49,1433.64
2023-11-06,3375.1,30,1101.1
2023-11-07,3043.87,27,743.67
2023-11-08,6994.87,66,2293.64
2023-11-09,6158.44,53,1625.33
2023-11-10,3440.78,25,945.52
2023-11-11,4816.12,38,1675.65
2023-11-12,3975.35,35,1365.71
2023-11-13,4925.17,46,1409.4
2023-11-14,6419.9,56,1574.91
2023-11-15,5258.12,43,1385.89
2023-11-16,5890.77,46,1949.44
2023-11-17,4020.54,38,940.03
2023-11-18,5463.48,50,1582.82
2023-11-19,5840.92,52,1705.34
2023-11-20,5628.57,51,1377.01
2023-11-21,4455.72,43,987.02
2023-11-22,5181.95,50,1500.83
2023-11-23,6689.85,52,2165.66
2023-11-24,4317.83,34,1059.48
2023-11-25,8678.44,68,2871.57
2023-11-26,4950.42,48,1277.92
2023-11-27,6105.1,49,1562.63
2023-11-28,4883.8,49,1141.27
2023-11-29,4769.82,40,1517.88
2023-11-30,4777.35,43,1549.74
2023-12-01,4632.96,43,1233.13
2023-12-02,8400.29,69,1851.11
2023-12-03,4417.61,41,1182.07
2023-12-04,6037.63,54,1828.75
2023-12-05,7262.41,61,2509.67
2023-12-06,5553.92,46,1392.76
2023-12-07,7457.85,58,2042.94
2023-12-08,5088.59,43,1187.89
2023-12-09,5008.51,44,1275.92
2023-12-10,8090.44,65,2118.41
2023-12-11,5735.49,48,1751.58
2023-12-12,7289.32,73,2401.82
2023-12-13,6060.29,48,1597.5
2023-12-14,5355.16,48,1445.23
2023-12-15,6667.8,62,2305.16
2023-12-16,4594.18,49,1012.32
2023-12-17,5872.01,46,1532.75
2023-12-18,6511.57,51,2191.41
2023-12-19,6255.65,50,1557.28
2023-12-20,5401.89,49,1339.99
2023-12-21,6870.29,65,1874.41
2023-12-22,5365.6,49,1443.29
2023-12-23,4862.85,40,1572.57
2023-12-24,6449.49,56,2130.77
2023-12-25,5809.04,48,1396.65
2023-12-26,4941.38,50,1342.07
2023-12-27,4870.62,48,1562.6
2023-12-28,5048.48,42,1237.57
2023-12-29,6776.97,62,1965.68
2023-12-30,5724.12,49,1442.62
2023-12-31,4802.43,45,1099.27
2024-01-01,4738.93,44,1361.44
2024-01-02,4178.56,36,1116.79
2024-01-03,4407.36,41,976.73
2024-01-04,3965.1,35,1056.96
2024-01-05,3682.39,34,1010.23
2024-01-06,4319.65,39,1389.46
2024-01-07,5784.35,44,1659.52
2024-01-08,5393.01,45,1775.88
2024-01-09,4008.86,41,1000.53
2024-01-10,4518.35,40,1084.15
2024-01-11,4223.7,36,1413.35
2024-01-12,4224.66,39,1069.44
2024-01-13,6818.1,56,2192.52
2024-01-14,3236.72,32,903.36
2024-01-15,4631.82,40,1168.44
2024-01-16,3620.54,33,1044.29
2024-01-17,4136.57,36,1272.67
2024-01-18,3912.03,36,1090.33
2024-01-19,6000.56,54,1480.0
2024-01-20,6240.26,53,2132.95
2024-01-21,6281.23,55,1465.98
2024-01-22,4950.9,46,1671.01
2024-01-23,5889.45,50,1344.05
2024-01-24,5288.19,44,1303.16
2024-01-25,5594.73,51,1730.96
2024-01-26,5768.33,51,1513.83
2024-01-27,6935.06,64,2337.64
2024-01-28,4731.9,38,1574.85
2024-01-29,6812.69,55,2312.87
2024-01-30,4432.43,39,1172.5
2024-01-31,5462.7,41,1206.56
2024-02-01,6858.74,53,2336.63
2024-02-02,6330.08,57,1963.47
2024-02-03,5096.62,48,1314.66
2024-02-04,5961.77,48,1848.85
2024-02-05,6108.77,50,2110.4
2024-02-06,4775.18,39,1552.71
2024-02-07,6006.36,55,1975.3
2024-02-08,4260.36,38,1226.14
2024-02-09,5593.83,53,1753.99
2024-02-10,4541.49,35,1171.64
2024-02-11,6188.24,49,1629.15
2024-02-12,6207.08,57,1996.58
2024-02-13,5793.9,50,1839.5
2024-02-14,5532.02,51,1603.11
2024-02-15,7104.93,57,1597.7
2024-02-16,5144.57,48,1421.37
2024-02-17,5029.58,45,1138.98
2024-02-18,6018.61,53,1938.43
2024-02-19,4597.42,39,1211.04
2024-02-20,7266.54,57,2321.82
2024-02-21,6696.18,57,1786.84
2024-02-22,6760.96,56,1977.0
2024-02-23,5957.17,51,1842.79
2024-02-24,5898.39,48,1781.2
2024-02-25,7314.14,65,2315.48
2024-02-26,7699.17,66,2265.94
2024-02-27,6259.33,52,1976.92
2024-02-28,5554.97,52,1765.01
2024-02-29,3713.47,31,833.95
2024-03-01,7144.81,61,2336.35
2024-03-02,5467.38,45,1667.59
2024-03-03,6195.58,50,1874.47
2024-03-04,5651.06,48,1595.27
2024-03-05,5132.35,45,1332.98
2024-03-06,7234.58,61,2300.96
2024-03-07,5753.83,49,1948.19
2024-03-08,6589.73,50,1831.17
2024-03-09,7303.11,65,1968.05
2024-03-10,6366.3,60,1939.7
2024-03-11,5498.22,49,1527.28
2024-03-12,5246.19,44,1822.44
2024-03-13,5590.13,47,1833.76
2024-03-14,5064.09,42,1283.52
2024-03-15,4923.33,48,1533.13
2024-03-16,6021.09,49,1991.81
2024-03-17,7960.1,63,2726.18
2024-03-18,4995.68,45,1549.38
2024-03-19,5015.48,41,1613.74
2024-03-20,6804.32,56,2293.78
2024-03-21,7812.97,65,2549.76
2024-03-22,6654.78,56,1986.98
2024-03-23,5237.38,50,1330.95
2024-03-24,8336.2,72,2914.4
2024-03-25,4430.56,41,1206.44
2024-03-26,5286.42,49,1843.56
2024-03-27,4348.47,40,1139.45
2024-03-28,6037.09,50,1851.97
2024-03-29,7552.31,61,1969.3
2024-03-30,5158.17,42,1211.91
2024-03-31,5220.31,46,1487.95
2024-04-01,4778.49,39,1174.12
2024-04-02,5927.34,54,1392.2
2024-04-03,5781.71,52,1550.6
2024-04-04,5547.33,52,1893.69
2024-04-05,5124.04,46,1357.96
2024-04-06,6538.05,55,1967.81
2024-04-07,7087.66,66,1580.15
2024-04-08,6963.55,55,2158.02
2024-04-09,5236.38,48,1380.38
2024-04-10,5873.55,51,1342.57
2024-04-11,5198.83,40,1708.14
2024-04-12,5075.68,48,1334.54
2024-04-13,4842.23,43,1201.39
2024-04-14,5489.56,46,1719.27
2024-04-15,7510.73,57,2106.65
2024-04-16,6385.9,49,1529.5
2024-04-17,7022.96,55,1781.08
2024-04-18,5549.78,48,1764.52
2024-04-19,4522.22,42,1417.22
2024-04-20,6626.83,58,2309.32
2024-04-21,6531.0,54,1898.73
2024-04-22,4863.78,44,1160.1
2024-04-23,6508.62,56,1557.84
2024-04-24,3113.61,27,881.52
2024-04-25,7759.62,70,2342.08
2024-04-26,6891.37,55,1782.07
2024-04-27,4923.1,42,1633.99
2024-04-28,4897.26,44,1400.03
2024-04-29,4630.61,39,1115.38
2024-04-30,7371.95,62,2171.26
2024-05-01,6387.3,64,1674.83
2024-05-02,4202.12,42,951.57
2024-05-03,5470.76,53,1808.3
2024-05-04,4782.9,44,1351.24
2024-05-05,5565.47,49,1270.24
2024-05-06,6495.86,50,1888.3
2024-05-07,3732.56,36,941.4
2024-05-08,5391.17,49,1191.73
2024-05-09,4827.71,43,1435.67
2024-05-10,4155.95,40,1179.98
2024-05-11,7385.55,69,2279.97
2024-05-12,5204.29,46,1340.21
2024-05-13,3895.59,33,912.98
2024-05-14,6392.2,55,1565.55
2024-05-15,4058.46,32,1344.62
2024-05-16,4219.95,37,1293.1
2024-05-17,6507.84,59,1492.82
2024-05-18,3753.17,33,830.23
2024-05-19,5463.84,42,1444.06
2024-05-20,7513.3,57,2415.13
2024-05-21,5434.81,44,1677.5
2024-05-22,5768.11,48,1491.78
2024-05-23,4853.54,39,1251.64
2024-05-24,4819.5,45,1125.46
2024-05-25,7711.33,59,2025.82
2024-05-26,5394.06,46,1680.63
2024-05-27,5284.57,47,1483.6
2024-05-28,6322.72,55,1731.59
2024-05-29,4934.5,45,1197.4
2024-05-30,5782.99,57,1671.9
2024-05-31,5346.37,48,1604.9
2024-06-01,4650.01,37,1444.49
2024-06-02,5783.29,53,1908.92
2024-06-03,4681.55,43,1192.83
2024-06-04,5085.17,46,1696.17
2024-06-05,4592.19,46,1164.51
2024-06-06,5258.57,47,1249.99
2024-06-07,4304.35,40,1342.48
2024-06-08,5988.98,53,1418.92
2024-06-09,5962.8,51,1841.39
2024-06-10,6540.06,58,2203.35
2024-06-11,5478.44,49,1915.32
2024-06-12,5567.93,49,1561.59
2024-06-13,5314.76,47,1650.1
2024-06-14,4237.39,41,1260.61
2024-06-15,5623.12,51,1937.03
2024-06-16,4519.88,41,1148.49
2024-06-17,5602.03,48,1440.85
2024-06-18,3896.96,35,1043.34
2024-06-19,6534.99,54,1625.7
2024-06-20,4741.51,41,1360.9
2024-06-21,5846.56,50,1774.06
2024-06-22,4738.93,39,1381.59
2024-06-23,3789.71,31,1104.6
2024-06-24,4680.58,46,1455.61
2024-06-25,3990.39,33,1172.76
2024-06-26,4580.26,39,1555.24
2024-06-27,4676.41,42,1134.05
2024-06-28,5081.99,45,1610.06
2024-06-29,6203.28,46,1581.79
2024-06-30,4251.07,45,1219.01
2024-07-01,4242.41,39,1300.82
2024-07-02,4531.35,41,1515.26
2024-07-03,6145.41,47,1835.98
2024-07-04,6157.64,50,1532.74
2024-07-05,5006.63,43,1286.6
2024-07-06,3337.81,34,1022.41
2024-07-07,4165.41,41,1428.67
2024-07-08,5261.99,41,1745.66
2024-07-09,5207.25,44,1310.33
2024-07-10,3793.53,35,1187.1
2024-07-11,3708.23,31,1293.11
2024-07-12,4604.48,39,1080.51
2024-07-13,4412.39,40,1004.67
2024-07-14,4604.33,40,1270.02
2024-07-15,5331.1,43,1547.02
2024-07-16,4647.33,39,1526.14
2024-07-17,5333.56,46,1579.88
2024-07-18,2765.47,22,926.31
2024-07-19,4217.65,32,1268.99
2024-07-20,3103.6,26,852.57
2024-07-21,2310.54,20,602.78
2024-07-22,2486.7,21,784.5
2024-07-23,4415.14,33,1136.23
2024-07-24,5602.79,47,1903.71
2024-07-25,3018.81,23,967.88
2024-07-26,4100.92,40,958.69
2024-07-27,4711.26,38,1282.82
2024-07-28,4465.75,42,1372.89
2024-07-29,4720.41,41,1535.95
2024-07-30,3740.08,31,1009.59
2024-07-31,4740.91,43,1080.13
2024-08-01,3943.67,34,1347.61
2024-08-02,4453.48,35,1115.07
2024-08-03,5618.03,49,1273.07
2024-08-04,6549.02,56,1849.31
2024-08-05,3714.67,33,936.16
2024-08-06,5158.74,42,1284.18
2024-08-07,4689.12,43,1299.4
2024-08-08,2947.27,25,750.69
2024-08-09,4358.79,39,1228.87
2024-08-10,2686.0,23,908.55
2024-08-11,2923.12,26,978.09
2024-08-12,3198.54,26,952.98
2024-08-13,3547.62,30,788.12
2024-08-14,4094.19,36,1425.05
2024-08-15,3910.1,35,1127.14
2024-08-16,4456.34,38,1178.57
2024-08-17,2688.99,23,616.32
2024-08-18,3400.55,28,1059.8
2024-08-19,6468.36,55,1988.78
2024-08-20,4615.44,37,1460.22
2024-08-21,5832.75,46,1429.21
2024-08-22,3691.96,29,1129.31
2024-08-23,4565.18,37,1394.26
2024-08-24,5034.91,38,1542.55
2024-08-25,5029.0,41,1657.14
2024-08-26,2601.66,24,839.29
2024-08-27,5607.4,40,1898.36
2024-08-28,3088.23,29,790.72
2024-08-29,3173.25,28,1039.68
2024-08-30,4272.68,37,1457.7
2024-08-31,3731.17,31,917.0
2024-09-01,3382.22,32,993.74
2024-09-02,3266.73,27,985.94
2024-09-03,2931.94,25,850.2
2024-09-04,3961.11,37,1123.59
2024-09-05,2876.34,24,753.32
2024-09-06,4094.3,34,1399.98
2024-09-07,4013.3,34,1034.64
2024-09-08,5496.74,46,1257.86
2024-09-09,2625.91,22,585.32
2024-09-10,3697.87,29,1208.06
2024-09-11,4152.75,36,994.86
2024-09-12,2556.6,23,733.59
2024-09-13,3969.95,34,996.41
2024-09-14,3006.27,28,940.01
2024-09-15,2740.74,24,740.05
2024-09-16,4190.04,37,1164.83
2024-09-17,3356.89,27,836.65
2024-09-18,3409.2,26,865.56
2024-09-19,4270.13,37,1366.02
2024-09-20,2879.68,27,851.35
2024-09-21,2967.63,24,984.55
2024-09-22,2568.41,22,663.33
2024-09-23,4561.18,41,1045.08
2024-09-24,4915.77,40,1285.21
2024-09-25,2943.14,27,730.74
2024-09-26,2167.05,23,652.24
2024-09-27,4211.64,37,948.12
2024-09-28,2865.62,25,649.56
2024-09-29,2782.64,26,632.96
2024-09-30,2836.45,26,961.72
2024-10-01,2322.91,22,663.77
2024-10-02,4508.65,41,1022.11
2024-10-03,1674.87,16,456.67
2024-10-04,4117.41,34,1343.15
2024-10-05,4709.7,40,1123.79
2024-10-06,4350.64,37,1205.44
2024-10-07,4058.19,32,1329.34
2024-10-08,3938.29,37,1164.32
2024-10-09,2047.65,17,467.87
2024-10-10,3631.07,31,876.24
2024-10-11,4298.27,39,1256.36
2024-10-12,3312.73,29,735.65
2024-10-13,3054.07,28,689.27
2024-10-14,3567.79,28,1127.49
2024-10-15,2579.92,19,607.29
2024-10-16,5504.89,45,1478.44
2024-10-17,3881.59,36,1214.68
2024-10-18,3812.07,31,1267.32
2024-10-19,2734.93,22,789.92
2024-10-20,3481.51,32,1068.36
2024-10-21,4483.87,41,1009.65
2024-10-22,4426.77,40,1186.35
2024-10-23,5278.14,40,1497.13
2024-10-24,3661.4,31,1104.68
2024-10-25,2846.97,26,892.36
2024-10-26,3859.21,31,1311.5
2024-10-27,2194.45,18,649.08
2024-10-28,3262.03,27,882.29
2024-10-29,3405.25,33,825.64
2024-10-30,4334.39,33,1490.62
2024-10-31,3927.28,32,1104.23
2024-11-01,6312.86,53,1525.47
2024-11-02,4535.89,35,1460.39
2024-11-03,5268.84,47,1390.83
2024-11-04,5386.92,47,1721.81
2024-11-05,4810.82,49,1480.69
2024-11-06,4560.68,40,1164.9
2024-11-07,5376.19,41,1381.05
2024-11-08,5935.62,50,1571.32
2024-11-09,4130.92,39,1430.89
2024-11-10,5741.0,50,1620.72
2024-11-11,5395.99,52,1774.31
2024-11-12,4911.25,43,1437.33
2024-11-13,5306.74,56,1668.67
2024-11-14,5436.49,45,1538.61
2024-11-15,5221.47,46,1359.03
2024-11-16,4846.46,42,1100.16
2024-11-17,5123.88,45,1587.94
2024-11-18,4333.43,35,1258.6
2024-11-19,5382.23,46,1369.95
2024-11-20,6020.15,62,1817.77
2024-11-21,3953.41,38,1183.88
2024-11-22,5896.07,51,1998.88
2024-11-23,6635.25,56,1898.57
2024-11-24,5670.14,53,1281.25
2024-11-25,4703.5,42,1086.18
2024-11-26,6329.06,55,1695.58
2024-11-27,8979.96,73,2470.6
2024-11-28,5355.58,46,1696.72
2024-11-29,7118.37,63,1757.11
2024-11-30,5420.67,45,1814.07
2024-12-01,6630.64,55,2188.56
2024-12-02,4998.66,48,1245.62
2024-12-03,6254.08,54,1718.35
2024-12-04,4923.35,45,1158.07
2024-12-05,4497.09,43,1207.62
2024-12-06,6537.62,54,1989.18
2024-12-07,4882.32,46,1585.82
2024-12-08,4897.69,43,1513.99
2024-12-09,4081.54,38,1382.12
2024-12-10,7007.7,57,1938.94
2024-12-11,5196.94,46,1172.22
2024-12-12,5957.49,53,1948.54
2024-12-13,6521.68,55,1959.36
2024-12-14,7377.34,60,2161.76
2024-12-15,5462.77,51,1328.23
2024-12-16,7436.5,66,2260.61
2024-12-17,5207.09,44,1146.35
2024-12-18,6114.3,54,1811.62
2024-12-19,5272.43,43,1590.54
2024-12-20,6660.18,57,2019.59
2024-12-21,6340.3,58,1541.82
2024-12-22,5363.55,49,1854.71
2024-12-23,5987.25,51,1769.19
2024-12-24,7079.46,59,2391.31
2024-12-25,6514.24,51,1688.32
2024-12-26,7003.44,59,2376.73
2024-12-27,6401.01,56,1573.33
2024-12-28,6205.17,53,1957.11
2024-12-29,4808.61,40,1242.71
2024-12-30,4838.92,46,1446.77
2024-12-31,6635.69,54,2274.82
2025-01-01,3882.02,36,1271.45
2025-01-02,5167.41,43,1730.66
2025-01-03,3297.36,30,766.74
2025-01-04,4736.21,38,1145.09
2025-01-05,4733.33,39,1497.26
2025-01-06,3629.13,31,862.13
2025-01-07,6027.0,54,1578.69
2025-01-08,6356.39,54,1568.75
2025-01-09,5479.6,43,1892.22
2025-01-10,4772.2,38,1518.74
